,software,count,MAIN,QA,QA_retrieval,preprint,software_paper,confidence,programming_language,repository_platform,discuss_in_paper,annotator,comments,rand_urls
519,iSeeRNA,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/26697116/;https://doi.org/10.1186/s13040-015-0075-z
520,mlinfo,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/22295056/;https://doi.org/10.1371/journal.pone.0028268
521,NCSI,1,,,,,,,,,,NCH,,https://doi.org/10.1016/j.scib.2020.04.043;https://www.ncbi.nlm.nih.gov/pubmed/32373394/;https://api.elsevier.com/content/article/pii/S2095927320302814;https://www.sciencedirect.com/science/article/pii/S2095927320302814?v=s5
522,- BLAST),2,,,,,,,,,,NCH,,https://doi.org/10.3389/fmicb.2020.577497;https://www.ncbi.nlm.nih.gov/pubmed/33365016/
523,Statute Square,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120968/
524,Madhesive,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7314705/
525,mPloc,4,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/28890846/;https://doi.org/10.7717/peerj.3561
526,ComCare,1,,,,,,,,,,NCH,,https://doi.org/10.3205/zma001387;https://www.ncbi.nlm.nih.gov/pubmed/33364373/
527,MROAST R package,2,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.12.29.424739
528,Telco,6,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120818/
529,GeneBee,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7089174/
530,PSCAN,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/25534508/;https://doi.org/10.1186/1471-2164-15-1161
531,PALM,20,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32834511/;https://api.elsevier.com/content/article/pii/S0925753520302630;https://doi.org/10.1016/j.ssci.2020.104866;https://www.sciencedirect.com/science/article/pii/S0925753520302630?v=s5
532,Comcast,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2012.09850v2.pdf
533,CoreWeave,1,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.06.27.175430;https://www.ncbi.nlm.nih.gov/pubmed/32637963/
534,DCCNAL,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2012.02825v1.pdf
535,ECMO,3,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S0122726220300811;https://www.sciencedirect.com/science/article/pii/S0122726220300811?v=s5
536,Raspbian Buster,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2010.05247v1.pdf
537,NVERE,1,,,,,,,,,,NCH,,https://doi.org/10.1002/gch2.202000067;https://www.ncbi.nlm.nih.gov/pubmed/33173592/
538,Data Acquisition,1,,,,,,,,,,NCH,,https://doi.org/10.1371/journal.ppat.1005817;https://www.ncbi.nlm.nih.gov/pubmed/27579713/
539,Cytobank FCS File Concatenation,1,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.09.24.311498
540,WooTube,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7652918/
541,ROTACS,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103198/
542,Zen2011,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/26166259/;https://www.sciencedirect.com/science/article/pii/S1094553915000747;https://doi.org/10.1016/j.pupt.2015.07.001;https://api.elsevier.com/content/article/pii/S1094553915000747
543,HSA,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32918236/;https://doi.org/10.1007/s10822-020-00341-x
544,ALDEx2,4,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7193045/
545,BIODEV,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/19006507/;https://doi.org/10.1111/j.1708-8305.2008.00232.x
546,WebAssembly,11,,,,,,,,,,NCH,,https://arxiv.org/pdf/2010.15403v1.pdf
547,Multi Gauge,2,,,,,,,,,,NCH,,https://doi.org/10.1371/journal.ppat.1008093;https://www.ncbi.nlm.nih.gov/pubmed/31600344/
548,#NAME?,1,,,,,,,,,,NCH,,https://doi.org/10.1371/journal.ppat.1008902;https://www.ncbi.nlm.nih.gov/pubmed/33035262/
549,Multichoice,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7330882/
550,SECT,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7080153/
551,TMiRob,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7837077/
552,CELL QUEST,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/19740316/;https://doi.org/10.1111/j.1365-2567.2008.03030.x
553,BrainLAB iPlan,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7097478/
554,Pharos,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33156327/;https://doi.org/10.1093/nar/gkaa993
555,SponzFest,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7656517/
556,Ibsen,1,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S0716864020300948;https://www.sciencedirect.com/science/article/pii/S0716864020300948
557,Quick,3,,,,,,,,,,NCH,,https://api.elsevier.com/content/article/pii/S2213422020301165;https://doi.org/10.1016/j.imr.2020.100484;https://www.ncbi.nlm.nih.gov/pubmed/32837904/;https://www.sciencedirect.com/science/article/pii/S2213422020301165?v=s5
558,MedSeg,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/33192159/;https://doi.org/10.1007/s11042-020-10010-8
559,DF,2,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/14739650/
560,Freegate,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7152225/
561,HyP,1,,,,,,,,,,NCH,,http://europepmc.org/articles/pmc3449240?pdf=render
562,AGYW,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7368608/
563,Dell,1,,,,,,,,,,NCH,,https://doi.org/10.3389/fgene.2020.00492;https://www.ncbi.nlm.nih.gov/pubmed/32528525/
564,SilentReminderE,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/32859157/;https://doi.org/10.1186/s12882-020-02008-z
565,BNB,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2005.10797v1.pdf
566,QTAS HORAS,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7095962/
567,TT,1,,,,,,,,,,NCH,,https://doi.org/10.1101/2020.07.19.211235;https://www.ncbi.nlm.nih.gov/pubmed/32743586/
568,SimConnect SDK,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302236/
569,RDFa,3,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7250621/
570,est,7,,,,,,,,,,NCH,,https://doi.org/10.3390/v12121398;https://www.ncbi.nlm.nih.gov/pubmed/33291220/
571,QEVO®,5,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7278230/
572,Lasergene Ò,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pubmed/25861750/;https://doi.org/10.1016/j.meegid.2015.03.032;https://api.elsevier.com/content/article/pii/S1567134815001173;https://www.sciencedirect.com/science/article/pii/S1567134815001173
573,PyTextRank,1,,,,,,,,,,NCH,,https://arxiv.org/pdf/2010.16357v1.pdf
574,gem5,4,,,,,,,,,,NCH,,https://arxiv.org/pdf/2101.05314v1.pdf
575,SISTA,1,,,,,,,,,,NCH,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7223907/
576,BioMart ID converter,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/24496798/;https://doi.org/10.1128/mbio.01102-13
577,Genome Detective Coronavirus Typing Tool,4,,,,,,,,,,SB,,https://doi.org/10.1101/2020.04.07.030924
578,BLAST + application,1,,,,,,,,,,SB,,https://doi.org/10.1021/acs.jcim.0c00634;https://www.ncbi.nlm.nih.gov/pubmed/32853525/
579,WeDoctor,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7278286/
580,hrsACE2,1,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/S0009898120302503;https://www.sciencedirect.com/science/article/pii/S0009898120302503?v=s5;https://doi.org/10.1016/j.cca.2020.05.044;https://www.ncbi.nlm.nih.gov/pubmed/32474009/
581,EUPHAS,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33060844/;https://doi.org/10.1038/s41581-020-00356-5
582,Geneious ® Prime,1,,,,,,,,,,SB,,https://doi.org/10.1101/2020.06.29.20142349;http://medrxiv.org/cgi/content/short/2020.06.29.20142349v1?rss=1
583,Alphafold,2,,,,,,,,,,SB,,https://doi.org/10.1093/bib/bbaa362;https://www.ncbi.nlm.nih.gov/pubmed/33348379/
584,NET NEURON,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7163953/
585,SICO - eVM),1,,,,,,,,,,SB,,https://doi.org/10.2991/jegh.k.200628.001;https://www.ncbi.nlm.nih.gov/pubmed/32954711/
586,RA,2,,,,,,,,,,SB,,https://arxiv.org/pdf/2009.08864v1.pdf
587,MOE®,3,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33052313/;https://doi.org/10.1016/j.imu.2020.100446;https://www.sciencedirect.com/science/article/pii/S2352914820305967?v=s5;https://api.elsevier.com/content/article/pii/S2352914820305967
588,GEMx,2,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/32957964/;https://doi.org/10.1186/s12909-020-02224-z
589,ClinVar,6,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4835520/
590,Lasergene PrimerSelect,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/23638038/;https://doi.org/10.1371/journal.pone.0062318
591,Quickoffice,1,,,,,,,,,,SB,,https://www.sciencedirect.com/science/article/pii/S1567539403001245;https://www.ncbi.nlm.nih.gov/pubmed/14990326/;https://api.elsevier.com/content/article/pii/S1567539403001245
592,CELLQuest,8,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/15710651/
593,CFDA,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4355554/
594,Mojave,2,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/S1477893920303215;https://www.ncbi.nlm.nih.gov/pubmed/32763496/;https://doi.org/10.1016/j.tmaid.2020.101825;https://www.sciencedirect.com/science/article/pii/S1477893920303215?v=s5
595,Genetic Profiler,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/12905489/
596,LOCK,13,,,,,,,,,,SB,,https://doi.org/10.1007/s00726-008-0088-8;https://www.ncbi.nlm.nih.gov/pubmed/18421562/
597,MeaSurement Tool to Assess systematic Reviews - 2 (AMSTAR - 2),1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33326318/;https://doi.org/10.1177/1753466620976021
598,ParFlow,13,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302287/
599,Air,4,,,,,,,,,,SB,,https://doi.org/10.1007/s40506-015-0057-1;https://www.ncbi.nlm.nih.gov/pubmed/32226323/
600,CONSTRAINT,2,,,,,,,,,,SB,,https://arxiv.org/pdf/2101.05499v1.pdf
601,surveillance,2,,,,,,,,,,SB,,https://doi.org/10.1101/2020.06.26.20140210;http://medrxiv.org/cgi/content/short/2020.06.26.20140210v1?rss=1
602,/ Astra,1,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/S0168365918300725;https://doi.org/10.1016/j.jconrel.2018.02.012;https://www.ncbi.nlm.nih.gov/pubmed/29432822/;https://www.sciencedirect.com/science/article/pii/S0168365918300725
603,- Base ld _ clump R packageMVMR R,1,,,,,,,,,,SB,,https://doi.org/10.1101/2020.07.09.20149450;http://medrxiv.org/cgi/content/short/2020.07.09.20149450v1?rss=1
604,Avadis,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3127811/
605,RAINFOR,1,,,,,,,,,,SB,,https://doi.org/10.1038/s41597-020-00766-x;https://www.ncbi.nlm.nih.gov/pubmed/33262346/
606,ModEval,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7157477/
607,MuMIn R package,1,,,,,,,,,,SB,,https://doi.org/10.1101/2021.02.01.21250935;http://medrxiv.org/cgi/content/short/2021.02.01.21250935v1?rss=1
608,ARDIYRASY,2,,,,,,,,,,SB,,https://doi.org/10.3389/fimmu.2018.00099;https://www.ncbi.nlm.nih.gov/pubmed/29441070/
609,plethy,1,,,,,,,,,,SB,,https://doi.org/10.1186/s12859-015-0547-7;https://www.ncbi.nlm.nih.gov/pubmed/25924931/
610,LifeGene,46,,,,,,,,,,SB,,https://doi.org/10.1007/s10654-010-9521-x;https://www.ncbi.nlm.nih.gov/pubmed/21104112/
611,AROME,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/32580130/;https://doi.org/10.1016/j.ejca.2020.05.015;https://api.elsevier.com/content/article/pii/S0959804920302811;https://www.sciencedirect.com/science/article/pii/S0959804920302811
612,PhosTransfer,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206318/
613,NIKON elements,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103170/
614,Parflow,4,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7302287/
615,GtoImmuPdb,2,,,,,,,,,,SB,,https://doi.org/10.1111/imm.13201;https://www.ncbi.nlm.nih.gov/pubmed/32297319/
616,NanopolishComp,1,,,,,,,,,,SB,,https://doi.org/10.1101/2020.07.18.204362
617,Cochrane LibraryÓ,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7095336/
618,RBPuite,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33297946/;https://doi.org/10.1186/s12864-020-07291-6
619,InSHAPE,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7525076/
620,TOURGO,1,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/S1477893918303922;https://www.ncbi.nlm.nih.gov/pubmed/31102656/;https://doi.org/10.1016/j.tmaid.2019.05.009;https://www.sciencedirect.com/science/article/pii/S1477893918303922
621,DNAnexus,6,,,,,,,,,,SB,,https://doi.org/10.1101/2020.05.22.110833
622,TORIAL,1,,,,,,,,,,SB,,https://arxiv.org/pdf/2010.06694v1.pdf
623,JMAnalyser,1,,,,,,,,,,SB,,https://doi.org/10.1155/2020/8831862;https://www.ncbi.nlm.nih.gov/pubmed/33163237/
624,PNRG,1,,,,,,,,,,SB,,https://arxiv.org/pdf/2012.03472v1.pdf
625,NGAL,2,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7095301/
626,ModRef,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7418129/
627,ReValidate,2,,,,,,,,,,SB,,https://doi.org/10.1155/2020/7613569;https://www.ncbi.nlm.nih.gov/pubmed/33062041/
628,Libdock,8,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4304229/
629,CavityPlus,7,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/32787684/;https://doi.org/10.4155/fmc-2020-0165
630,EG,4,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/S1201971220303362;https://www.ncbi.nlm.nih.gov/pubmed/32437930/;https://doi.org/10.1016/j.ijid.2020.05.029;https://www.sciencedirect.com/science/article/pii/S1201971220303362?v=s5
631,FORMA,1,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/S0094576518302479;https://www.sciencedirect.com/science/article/pii/S0094576518302479;https://doi.org/10.1016/j.actaastro.2018.10.042;https://www.ncbi.nlm.nih.gov/pubmed/32287491/
632,SafeGraph Social Distancing Metrics,1,,,,,,,,,,SB,,https://doi.org/10.1101/2020.06.15.20131979;http://medrxiv.org/cgi/content/short/2020.06.15.20131979v1?rss=1
633,GPT AI GPT,1,,,,,,,,,,SB,,https://arxiv.org/pdf/2006.10964v2.pdf
634,Verizon LTE,1,,,,,,,,,,SB,,https://arxiv.org/pdf/2010.02781v1.pdf
635,Ansys,9,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/S0269749115002377;https://doi.org/10.1016/j.envpol.2015.05.004;https://www.sciencedirect.com/science/article/pii/S0269749115002377;https://www.ncbi.nlm.nih.gov/pubmed/25989454/
636,TOLLIP,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4525466/
637,mol2,2,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3787967/
638,Salesforce,3,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33456318/;https://doi.org/10.1007/s10586-020-03225-9
639,sowas,2,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/25928217/;https://doi.org/10.1371/journal.pone.0125447
640,Jason,2,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7338180/
641,Doc2Query,1,,,,,,,,,,SB,,http://medrxiv.org/cgi/content/short/2020.10.15.20213645v1?rss=1;https://doi.org/10.1101/2020.10.15.20213645
642,NormFinder,297,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3928306/
643,BibTeX,3,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7340894/
644,Spiral,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7333445/
645,AllKNN,1,,,,,,,,,,SB,,https://arxiv.org/pdf/2004.05835v3.pdf;https://doi.org/10.1016/j.cmpb.2020.105532;https://api.elsevier.com/content/article/pii/S0169260720309664;https://www.sciencedirect.com/science/article/pii/S0169260720309664?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/32446037/
646,R 0 package,1,,,,,,,,,,SB,,https://doi.org/10.1016/j.nmni.2020.100715;https://www.sciencedirect.com/science/article/pii/S2052297520300676?v=s5;https://api.elsevier.com/content/article/pii/S2052297520300676;https://www.ncbi.nlm.nih.gov/pubmed/32566233/
647,deseq2,1,,,,,,,,,,SB,,https://doi.org/10.1053/j.gastro.2020.10.021;https://www.sciencedirect.com/science/article/pii/S0016508520352781?v=s5;https://www.ncbi.nlm.nih.gov/pubmed/33075345/;https://api.elsevier.com/content/article/pii/S0016508520352781
648,EEGLAB,11,,,,,,,,,,SB,,https://doi.org/10.1101/2020.12.23.424194
649,Climate Action Tracker (CAT,1,,,,,,,,,,SB,,https://www.sciencedirect.com/science/article/pii/S014098832030205X?v=s5;https://doi.org/10.1016/j.eneco.2020.104865;https://api.elsevier.com/content/article/pii/S014098832030205X;https://www.ncbi.nlm.nih.gov/pubmed/32834202/
650,SAMtools,16,,,,,,,,,,SB,,https://doi.org/10.1093/nargab/lqaa036;https://www.ncbi.nlm.nih.gov/pubmed/32500120/
651,Google Adsense,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/25170475/;https://doi.org/10.4081/jphr.2013.e4
652,BORE,14,,,,,,,,,,SB,,https://arxiv.org/pdf/2102.01921v1.pdf
653,Google Maps Java - Script API,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5127016/
654,ISDE,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7197607/
655,RBS,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7345302/
656,ESTO,1,,,,,,,,,,SB,,https://www.sciencedirect.com/science/article/pii/S187705091200508X;https://www.ncbi.nlm.nih.gov/pubmed/32288895/;https://doi.org/10.1016/j.procs.2012.06.151;https://api.elsevier.com/content/article/pii/S187705091200508X
657,NIMPLY,1,,,,,,,,,,SB,,https://doi.org/10.1101/2020.12.10.419440
658,NetFlix,2,,,,,,,,,,SB,,https://arxiv.org/pdf/2004.13569v2.pdf;https://www.sciencedirect.com/science/article/pii/S1389128620306046?v=s5;https://api.elsevier.com/content/article/pii/S1389128620306046
659,PAIR,2,,,,,,,,,,SB,,https://doi.org/10.1371/journal.pone.0240962;https://www.ncbi.nlm.nih.gov/pubmed/33064778/
660,Jalview,109,,,,,,,,,,SB,,https://doi.org/10.1186/s41231-020-00063-0;https://www.ncbi.nlm.nih.gov/pubmed/32869000/
661,NoSQL MongoDB,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7256582/
662,NetMHCIIpanImmune Epitope Database and Analysis Resource (IEDB),1,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/B9780128096338201003;https://www.sciencedirect.com/science/article/pii/B9780128096338201003
663,ISEV,2,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33144926/;https://doi.org/10.1080/20013078.2020.1809766
664,Apache Hama,1,,,,,,,,,,SB,,https://doi.org/10.1016/j.inffus.2015.08.005;https://www.sciencedirect.com/science/article/pii/S1566253515000780;https://www.ncbi.nlm.nih.gov/pubmed/32288689/;https://api.elsevier.com/content/article/pii/S1566253515000780
665,Nat,5,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4913621/
666,PredPhosphoScansite,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/20423529/;https://doi.org/10.1186/1471-2105-11-210
667,Packmol,4,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33224712/;https://doi.org/10.1007/s40571-020-00367-w
668,ACCpro20,1,,,,,,,,,,SB,,https://doi.org/10.1101/2020.07.10.171769
669,Svft,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7091737/
670,LAPK,1,,,,,,,,,,SB,,https://www.sciencedirect.com/science/article/pii/S1198743X15600775;https://api.elsevier.com/content/article/pii/S1198743X15600775
671,XENON,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33424225/;https://doi.org/10.1007/jhep12(2020)194;https://arxiv.org/pdf/2008.05029v2.pdf
672,Etherpads,1,,,,,,,,,,SB,,https://doi.org/10.1002/ece3.6835;https://www.ncbi.nlm.nih.gov/pubmed/33250993/
673,CLeVer,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7788606/
674,Statistical Package of Social Sciences software (SPSS),1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/32574314/;https://doi.org/10.3389/fpubh.2020.00254
675,CCUM,5,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33527093/;https://doi.org/10.1007/s41701-021-00098-0
676,ICCMS,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7818095/
677,Solid Works,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7424960/
678,COGS,1,,,,,,,,,,SB,,https://doi.org/10.3389/fbioe.2020.01020;https://www.ncbi.nlm.nih.gov/pubmed/32974328/
679,VizWiz,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7479805/
680,ROBOT,2,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7586462/
681,COVIDResNet,2,,,,,,,,,,SB,,https://arxiv.org/pdf/2010.08115v1.pdf
682,OpenSMILES,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7495975/
683,Molecular Evolutionary Genetics Analysis 6 .,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/31902509/;https://doi.org/10.1016/j.vetmic.2019.108513;https://api.elsevier.com/content/article/pii/S0378113519309253;https://www.sciencedirect.com/science/article/pii/S0378113519309253
684,Hydrasys,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6439134/
685,PORTACOUNT Pro +,1,,,,,,,,,,SB,,https://doi.org/10.1038/s41598-020-80908-8;https://www.ncbi.nlm.nih.gov/pubmed/33469049/
686,Instant Messenger,1,,,,,,,,,,SB,,https://arxiv.org/pdf/2101.08221v1.pdf
687,#NAME?,1,,,,,,,,,,SB,,https://arxiv.org/pdf/2005.14585v1.pdf
688,RDP (Recombination Detection Program),1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/20840780/;https://doi.org/10.1186/1743-422x-7-227
689,NDE Process,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7778845/
690,ANVUR,2,,,,,,,,,,SB,,https://arxiv.org/pdf/2012.03649v1.pdf
691,OpenCV,9,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33208927/;https://doi.org/10.1038/s41551-020-00633-5
692,SubtiWiki,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7608354/
693,proc,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7510809/
694,SOLSIM,1,,,,,,,,,,SB,,https://api.elsevier.com/content/article/pii/S0038092X20308793;https://www.sciencedirect.com/science/article/pii/S0038092X20308793;https://doi.org/10.1016/j.solener.2020.08.041;https://www.ncbi.nlm.nih.gov/pubmed/32863443/
695,gp10,2,,,,,,,,,,SB,,https://arxiv.org/pdf/2012.03782v1.pdf
696,NeaNet,9,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7206307/
697,fysiek,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7773796/
698,OntoGaCLeS,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334152/
699,GlycoWorkbench,5,,,,,,,,,,SB,,https://doi.org/10.1101/2020.08.26.269043
700,MedicalGIS,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/33361054/;https://doi.org/10.2196/23379
701,Comate,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/30668611/;https://doi.org/10.1371/journal.ppat.1007545
702,EnCOM,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/32851910/;https://doi.org/10.1080/07391102.2020.1811774
703,MATHia,1,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7334700/
704,Medscape,21,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pubmed/20409366/;https://doi.org/10.3201/eid1605.091801
705,HELIYON,1,,,,,,,,,,SB,,https://www.sciencedirect.com/science/article/pii/S2405844020318533?v=s5;https://doi.org/10.1016/j.heliyon.2020.e05010;https://api.elsevier.com/content/article/pii/S2405844020318533;https://www.ncbi.nlm.nih.gov/pubmed/32984567/
706,Pharma,4,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7120412/
707,Digital,13,,,,,,,,,,SB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167111/
708,Network View,1,,,,,,,,,,SB,,https://doi.org/10.1101/2020.04.02.017004
